紙に直接絵の具を垂らして作品を制作するアート手法を何というでしょう？,ドリッピング,ポーリング,スパッタリング,コラージュ
健康上の問題が理由で生産性が低下している状態のことを何というでしょう？,プレゼンティーイズム,アブセンティーイズム,ワーカホリック,バーンアウト
実際には性的マイノリティではないのにも関わらず、性的指向の曖昧さをほのめかして世間からの注目を集める手法を何というでしょう？,クィアベイティング,ピンクウォッシング,ジェンダーフック,イミテーション
16世紀末には「世界の半分」と呼ばれるまでに繁栄した、イランの王朝 サファヴィー朝の首都が置かれた都市はどこでしょう？,イスファハーン,テヘラン,イスタンブール,タブリーズ
利用者が意図しない操作を強制させるようなWebデザインのことを何というでしょう？,ダークパターン,ブラックハット,クリックベイト,バッドノウハウ
自分自身に対してポジティブな言葉を投げかけることで自己肯定感を高める方法を何というでしょう？,アファメーション,アサーション,マインドフルネス,セルフコンパッション
哲学の思考実験の一つで、「もしある人物の細胞が徐々に別の物質に置き換えられ、最終的にすべて入れ替わったとしても、その人物は同一人物と言えるか？」という問いを何というでしょう？,テセウスの船,スワンプマン,シミュレーション仮説,中国語の部屋
人物や風景の錦絵を切り抜いて組み立てることで作品の立体感を楽しむ、江戸時代に流行した「おもちゃ絵」は何でしょう？,立版古,錦絵,浮世絵,判じ絵
ガやトンボが風に逆らって飛ぶように、生物が外部からの刺激に対して特定の方向に運動する性質を「何性」というでしょう？,走性,屈性,順性,光性
古い時代に書かれた文字を現代の文字に書き換えることを何というでしょう？,翻刻,影印,釈文,拓本
動物が、成体になっても幼生や幼体の形態や特徴を保持し続ける現象のことを何というでしょう？,ネオテニー,メタモルフォーゼ,アタビズム,ポリモーフィズム
1324年、後醍醐天皇が側近の日野資朝（すけとも）らとともに鎌倉幕府の討幕を企てた政変は何でしょう？,正中の変,元弘の変,承久の乱,嘉吉の乱
輸送業界において、車両や船舶を休みなく往復させ、人や物を次々と送ることを「何輸送」というでしょう？,ピストン輸送,シャトル輸送,フィーダー輸送,リレー輸送
文化財を指定する際に、関連する物品や資料もあわせて文化財指定することを何というでしょう？,つけたり指定,ふたい指定,関連指定,一括指定
強い磁場を持ちながら回転し、電波やX線などを放射する天体のことを何というでしょう？,パルサー,クエーサー,マグネター,ブレーザー
「エジプトはナイルの賜物」という言葉も有名な古代ギリシャの歴史家は誰でしょう？,ヘロドトス,トゥキディデス,クセノポン,アリストテレス
医療業界で使われるマスクや注射器などの使い捨て品のことを何というでしょう？,ディスポーザブル品,サニタリー品,コンシューマブル品,アメニティ品
太陽よりも重い恒星が崩壊する際に発生する、大量の X 線やガンマ線が放出される現象は何でしょう？,ガンマ線バースト,超新星爆発,ビッグクランチ,X線バースト
登場人物たちが契りを交わす「おおかわばたの場」が特に有名な、河竹黙阿弥の浄瑠璃作品は何でしょう？,『三人吉三』,『白浪五人男』,『勧進帳』,『東海道四谷怪談』
動脈硬化などが原因で、人体の組織に血液が十分に行き届かなくなることを漢字２文字で何というでしょう？,虚血,鬱血,充血,瀉血
古代エジプトでは「太陽の石」と呼ばれた、鮮やかなオリーブグリーン色をした鉱石は何でしょう？,ペリドット,エメラルド,ラピスラズリ,トパーズ
海外のホテルなどに設けられている、使用していない間は壁に収納することができるベッドのことを何というでしょう？,マーフィーベッド,ソファベッド,オルタナティブベッド,ギャッジベッド
現在でも正月によく流される、箏曲家（そうきょくか）の宮城道雄が手がけた曲は何でしょう？,『春の海』,『六段の調』,『さくらさくら』,『荒城の月』
短い時間で連続して技を繰り出すことで体力の向上や技術の習得などを目指す剣道の稽古を何というでしょう？,掛かり稽古,打ち込み稽古,地稽古,切り返し稽古
事故などによって車にきずや窪みなどが生じてしまった際に、専用の機器などを用いて復元する作業のことを何というでしょう？,板金,レストア,パテ,組替
ソ連からの支援を失った中国で毛沢東が主導した、農民を総動員して農工業を発展させる政策を何というでしょう？,大躍進,文化大革命,百花斉放,羈縻政策
昨年から発行された新紙幣にも偽造防止技術として取り入れられている、３次元像を記録する技術を何というでしょう？,ホログラフィ,リソグラフィ,ステレオグラフィ,透かし
目の中に小さなコンタクトレンズを挿入することで視力の回復を目指す、人気の視力矯正手術は何でしょう？,ICL,レーシック,オルソケラトロジー,オートレフラクトメータ
競争が激しい中国社会において、必要最低限の収入を確保して自分が楽しめる時間を過ごす若者を「何族」というでしょう？,寝そべり族,さとり族,FIRE族,スローライフ族
腎臓での水の再吸収を促し尿量を調節する作用がある、脳下垂体後葉から分泌されるホルモンは何でしょう？,バソプレシン,オキシトシン,アルドステロン,プロゲステロン
静養のためにバカンス先を訪れた作家が、ホテルで出会った美少年に魅せられていくという内容の、トマス・マンの小説は何でしょう？,『ヴェニスに死す』,『魔の山』,『ブッデンブローク家の人々』,『トニオ・クレーガー』
聴覚情報と視覚情報が食い違っていると、視覚からの情報に影響され、聞こえる音が違ったものとして認識されてしまう現象を何というでしょう？,マガーク効果,ストループ効果,カクテルパーティ効果,プライミング効果
特に目立つ４つの星々は太陽の数十倍の質量を持つ、オリオン大星雲の中心部に位置する恒星の集合を何というでしょう？,トラペジウム,オリオンベルト,プレアデス星団,ヒアデス星団
体を倒しながらボールを投じるハンドボールのシュートの一種は何でしょう？,プロンジョンシュート,ステップシュート,スピネーションシュート,ピボットシュート
「220と284」などが代表的な、自身を除いた約数の和が互いに等しくなるような数のことを何というでしょう？,友愛数,完全数,社交数,婚約数
加齢などの原因によって筋力が落ち、身体能力が低下した状態のことを何というでしょう？,サルコペニア,フレイル,ダイナペリア,ロコモティブシンドローム
企業経営の最終目標として設定される「重要目標達成指標」のことを、アルファベット３文字で何というでしょう？,KGI,KPI,OKR,ROI
複数年契約を結んだ野球選手が、自身の契約内容を見直したり破棄したりすることができる権利を何というでしょう？,オプトアウト,フリーエージェント,ウィーバー,ノンテンダー
集団で行うツーリングで、複数台のバイクが互い違いに並んで走行する方法を何というでしょう？,千鳥走行,並列走行,縦列走行,雁行走行
生物が環境に適応するにつれ、よく使用する器官は発達し、使用しない器官は縮小するという、生物学者のラマルクが提唱した学説は何でしょう？,用不用説,コアセルベート説,パンスペルミア説,細胞内共生説
トマトとバジルのように、近くで栽培することで互いの成長に良い影響を与え合う植物のことを何というでしょう？,コンパニオンプランツ,パートナープランツ,サプリメントプランツ,コンビネーションプランツ
収納スペースにモノがすっぽりと収まることを、「何フィット」というでしょう？,シンデレラフィット,アリスフィット,パズルフィット,プリンセスフィット
屈折率の差を明暗の差に変えることで観察を行う、物理学者ゼルニケが発明した顕微鏡は何でしょう？,位相差顕微鏡,微分干渉顕微鏡,偏光顕微鏡,蛍光顕微鏡
菅原道真が立ち寄った際の年齢に由来する57段の石段が参道に設けられた、「日本最初の天神さま」として知られる神社は何でしょう？,防府天満宮,北野天満宮,太宰府天満宮,湯島天満宮
近世には神道の正統性を主張する言葉として重要視された、「神のみこころのままに」という意味の熟語は何でしょう？,かんながら,ことだま,やまとだましい,みそぎ
北アフリカでは「フォガラ」とも呼ばれる、イランなどの西アジアの国で利用される地下水路を何というでしょう？,カナート,ワジ,アフラージュ,スーク
ホメロスの叙事詩に影響され発掘活動に志した、トロイア遺跡の発掘なを行なったドイツの考古学者は誰でしょう？,ハインリヒ・シュリーマン,ハワード・カーター,アーサー・エヴァンズ,ウィンケルマン
水族館などに設置され、来場者が直接海の生き物に触れられる体験型の水槽を何というでしょう？,タッチプール,ペッティングシー,ハンズオンタンク,バックヤード
画家フェルメールの遺産管財人も務めた、自作の顕微鏡を用いて細菌などを観察したオランダの博物学者は誰でしょう？,レーウェンフック,ロバート・フック,パスツール,ユトリロ
ソーシャルメディアなどで、自分や他人の個人情報を過度に共有してしまうことを英語で何というでしょう？,オーバーシェア,セルフディスクロージャー,オーバーロード,TMI
かつてなめし剤として使われていたことに由来する名前を持つ、赤ワインの色や渋みの元となっているポリフェノールの一種は何でしょう？,タンニン,カテキン,サポニン,アントシアニン
個人の経験や勘に基づいており他人に言葉で説明できない知識のことを何というでしょう？,暗黙知,形式知,経験知,結晶知
物流の面では雑誌に近い扱いを受けるものの、内容自体は書籍に近い刊行物のことを何というでしょう？,ムック,フリーペーパー,タブロイド,ジン
累進課税制度など、経済の安定のために自動的に作用する制度のことを英語で何というでしょう？,ビルトインスタビライザー,モラルハザード,デフレスパイラル,セーフティネット
家で余った食材などを施設に寄付し、食料に困っている人たちを助ける運動を何というでしょう？,フードドライブ,フードバンク,炊き出し,レッドカップ
音楽アルバムなどのタイトルに、アーティスト自身の名前をそのまま用いることを何というでしょう？,セルフタイトル,セルフカバー,タイトルトラック,ファストトラック
流体の流れの中では、流れる速度が大きい箇所ほど圧力は小さくなるという定理を「誰の定理」というでしょう？,ベルヌーイの定理,アルキメデスの原理,パスカルの原理,ベンチュリ効果
大型であった菱垣廻船（ひがきかいせん）を速さで圧倒した、江戸時代に大阪から江戸へ酒を運ぶために作られた船を何というでしょう？,樽廻船,北前船,東廻船,江戸船
漫画制作の用語で、細く均一な線を一定の間隔で引くことで濃淡を表現することを何というでしょう？,カケアミ,ベタ,スクリーントーン,集中線
昭和初期の日本で当時の社会不安を反映して制作された映画を何というでしょう？,傾向映画,プロレタリア映画,国策映画,深刻映画
元老院でコンスルから指名され軍事を中心に全権を掌握した、古代ローマにおいて非常時に独立的地位を与えられた政務官を何というでしょう？,ディクタトル,インペラトル,トリブヌス,カウディーリョ
言語学で、実際の正しさよりも「実際に使われているか」に注目した文法のことを何というでしょう？,記述文法,規範文法,生成文法,比較文法
士族に対する給料の支給を廃止する代わりとして公債を与えた、明治政府が行った政策は何でしょう？,秩禄処分,廃刀令,棄捐令,監護措置
マーケティングにおいて、見込みのある顧客との関係を深め、商品に対する購買意欲を高める活動のことを何というでしょう？,ナーチャリング,エンゲージング,プロスペクティング,ブランディング
先端にダイヤモンドがついた専用のペンを用いて、ガラスの表面に点や線を彫刻する技法を何というでしょう？,グラスリッツェン,サンドブラスト,エッチング,グラヴィール
出入り口付近にエアシャワーなどを設置することで、外部からのゴミが持ち込まれないようにした部屋のことを何というでしょう？,クリーンルーム,サニタリールーム,クリーンベンチ,エアロック
咳払いの音や咀嚼音などの日常の特定の音に対して強い嫌悪感を感じてしまう障害のことを何というでしょう？,ミソフォニア,フォノフォビア,ミサンドリー,マノスフィア
ある曲のフレーズが無意識に頭の中で流れ続けてしまうことを何というでしょう？,イヤーワーム,サウンドリフレイン,メロディホリック,ブレインループ
電化製品を使用していない時に消費される電力を何というでしょう？,待機電力,暗電力,スリープ電力,漏電力
お寺や神社で、参拝する人や僧侶が宿泊するために作られた施設を何というでしょう？,宿坊,参籠,寺子屋,旅籠
３Dメガネなどに応用されている、カラーフィルタに通すことで画像を分離する技術を何というでしょう？,アナグリフ,ステレオグラム,偏光方式,クロマキー
世界各地の政治家がどれほど汚職していると判断できるかを表す指標は何でしょう？,腐敗認識指数,透明性指数,ガバナンス指数,クオータ指数
自身の思考と矛盾した認知を抱えることで不安感を覚えた状態を何というでしょう？,認知的不協和,確証バイアス,ダブルバインド,アンビバレンス
企業がどれだけ地球温暖化対策に取り組んでいるかの指標となる、サプライチェーンでどれだけ温室効果ガスが排出されたかを示す指標は何でしょう？,GHGプロトコル,スコープ１・２・３,カーボンフットプリント,CDP
雲の形や壁のシミなどが、「人の顔」といった意味のあるパターンとして見えてしまう錯覚現象のことを何というでしょう？,パレイドリア,ゲシュタルト崩壊,シミュラクラ,アポフェニア
社会を支えていた共通の価値観や道徳規範が失われ、人々の行動が無規制になり混乱した状態を指す、社会学者デュルケームが提唱した概念は何でしょう？,アノミー,カリスマ,イデオロギー,パラダイム
ある個人に対して周囲が特定のレッテルを貼ることで、実際にそのレッテル通りの行動をとるようになる現象を説明する理論は何でしょう？,ラベリング理論,スティグマ理論,ステレオタイプ理論,予言の自己成就
消費者が商品やサービスを購入する際、時間、労力、ストレスなど、目に見えない形で支払うことになるコストの総称を何というでしょう？,フリクション・コスト,サンク・コスト,オポチュニティ・コスト,スイッチング・コスト
事故や病気で手足を失ったにもかかわらず、まるで手足がまだ存在するかのように、痛みや感覚を感じる現象を何というでしょう？,幻肢痛,共感覚,離人症,身体醜形障害
ケチャップやペンキのように、力を加えてかき混ぜると粘度が低下して流動しやすくなるが、放置すると再び粘度が高くなって固まるという、物質の性質を何というでしょう？,チキソトロピー,ダイラタンシー,フィラントロピー,テオソフィー